table_name,field_name,field_value,language,translation
stops,stop_name,高崎女子高校入口,ja-Hrkt,たかさきじょしこうこういりぐち
stops,stop_name,高崎女子高校入口,en,Takasaki Joshikoukou Iriguchi(Near Takasaki G.H.S)
stops,stop_name,天神町,ja-Hrkt,てんじんちょう
stops,stop_name,天神町,en,Tenjincho
stops,stop_name,高崎問屋町駅貝沢口,ja-Hrkt,たかさきとんやまちえきかいざわぐち
stops,stop_name,高崎問屋町駅貝沢口,en,TakasakiTonyamachi Eki Kaizawaguchi(Takasaki tonya Sta.Kaizawa Exit)
stops,stop_name,貝沢町南,ja-Hrkt,かいざわまちみなみ
stops,stop_name,貝沢町南,en,Kaizawa-machi Minami
stops,stop_name,東部小学校西,ja-Hrkt,とうぶしょうがっこうにし
stops,stop_name,東部小学校西,en,Tohbu Shougakkou nisi(West of Tobu P.S)
stops,stop_name,高崎商業高校入口,ja-Hrkt,たかさきしょうぎょうこうこういりぐち
stops,stop_name,高崎商業高校入口,en,Takasaki Shougyoukoukou Iriguchi(Near Takasaki Commercial high school)
stops,stop_name,東貝沢町四丁目,ja-Hrkt,ひがしかいざわまちいっちょうめ
stops,stop_name,東貝沢町四丁目,en,Higashi Kaizawa-machi 4chome
stops,stop_name,井野町東,ja-Hrkt,いのまちひがし
stops,stop_name,井野町東,en,Ino-machi higashi
stops,stop_name,変電所前,ja-Hrkt,へんでんしょまえ
stops,stop_name,変電所前,en,Hendensho mae
stops,stop_name,松之木橋,ja-Hrkt,まつのきばし
stops,stop_name,松之木橋,en,Matsunokibashi
stops,stop_name,中央中等教育学校前,ja-Hrkt,ちゅうおうちゅうとうきょういくがっこうまえ
stops,stop_name,中央中等教育学校前,en,Chuochutoukyouikugakkou mae(Gunma Prefectural Chuo Secondary School)
stops,stop_name,群馬医療福祉大学入口,ja-Hrkt,ぐんまいりょうふくしだいがくいりぐち
stops,stop_name,群馬医療福祉大学入口,en,GunmaIryouhukushi(Gunma University of Health and Welfare)
stops,stop_name,育英短大前,ja-Hrkt,いくえいたんだいまえ
stops,stop_name,育英短大前,en,Ikuei tandai mae(Ikuei Junior college)
stops,stop_name,上京目公民館前,ja-Hrkt,かみきょうめこうみんかんまえ
stops,stop_name,上京目公民館前,en,Kamikyoume kouminkan mae(Kamikyoume Public hall)
stops,stop_name,大沢町,ja-Hrkt,おおさわまち
stops,stop_name,大沢町,en,Oosawa-machi
stops,stop_name,萩原町中央公園前,ja-Hrkt,はぎわらまちちゅうおうこうえんまえ
stops,stop_name,萩原町中央公園前,en,Hagiwara-machi chuokouen mae(hagiwara-machi CentralPark)
stops,stop_name,萩原町,ja-Hrkt,はぎわらまち
stops,stop_name,萩原町,en,hagiwara-machi
stops,stop_name,萩原町南,ja-Hrkt,はぎわらまちみみなみ
stops,stop_name,萩原町南,en,Hagiwara-machi minami
stops,stop_name,京目町,ja-Hrkt,きょうめまち
stops,stop_name,京目町,en,Kyoume-machi
stops,stop_name,群南団地,ja-Hrkt,ぐんなんだんち
stops,stop_name,群南団地,en,Gunnandanchi
stops,stop_name,西島町,ja-Hrkt,にしじままち
stops,stop_name,西島町,en,Nishijima-machi
stops,stop_name,島野町北,ja-Hrkt,しまのまちきた
stops,stop_name,島野町北,en,Shimano-machi kita
stops,stop_name,新保町岡野,ja-Hrkt,しんぽまちおかの
stops,stop_name,新保町岡野,en,Shinpo-machi Okano
stops,stop_name,ひよこ保育園前,ja-Hrkt,ひよこほいくえんまえ
stops,stop_name,ひよこ保育園前,en,Hiyokohoikuen
stops,stop_name,新保町西,ja-Hrkt,しんぽまちにし
stops,stop_name,新保町西,en,Shinpo-machi nishi
stops,stop_name,東貝沢町一丁目,ja-Hrkt,ひがしかいざわまちいっちょうめ
stops,stop_name,東貝沢町一丁目,en,HigashiKaizawa-machi 1chome
stops,stop_name,東部小学校前,ja-Hrkt,とうぶしょうがっこうまえ
stops,stop_name,東部小学校前,en,Tohbu Shougakkou(Tohbu P.S.)
stops,stop_name,上大類町東,ja-Hrkt,かみおおるいまちひがし
stops,stop_name,上大類町東,en,Kamioorui-machi higashi
stops,stop_name,上大類町,ja-Hrkt,かみおおるいまち
stops,stop_name,上大類町,en,Kamioorui-machi
stops,stop_name,南大類町西,ja-Hrkt,みなみおおるいまちにし
stops,stop_name,南大類町西,en,Minamioorui-machi nishi
stops,stop_name,城東小学校前,ja-Hrkt,じょうとうしょうがっこうまえ
stops,stop_name,城東小学校前,en,Jotoh Shougakkou mae(Jotoh P.S.)
stops,stop_name,岩押町,ja-Hrkt,いわおしまち
stops,stop_name,岩押町,en,Iwaoshi-machi
stops,stop_name,栄町北,ja-Hrkt,さかえまちきた
stops,stop_name,栄町北,en,Sakae-machi kita
stops,stop_name,岩押郵便局前,ja-Hrkt,いわおしゆうびんきょくまえ
stops,stop_name,岩押郵便局前,en,Iwaoshiyuubinkyoku mae
stops,stop_name,上中居町西,ja-Hrkt,かみなかいまちにし
stops,stop_name,上中居町西,en,Kaminakai-machi nishi
stops,stop_name,上中居町北,ja-Hrkt,かみなかいまちきた
stops,stop_name,上中居町北,en,Kaminakai-machi kita
stops,stop_name,上中居町,ja-Hrkt,かみなかいまち
stops,stop_name,上中居町,en,Kaminakai-machi
stops,stop_name,中居町一丁目,ja-Hrkt,なかいまちいっちょうめ
stops,stop_name,中居町一丁目,en,Nakai-machi 1chome
stops,stop_name,大類公民館入口,ja-Hrkt,おおるいこうみんかんいりぐち
stops,stop_name,大類公民館入口,en,Ooruikouminkan Iriguchi(Near Oorui public hall)
stops,stop_name,高崎健康福祉大学,ja-Hrkt,たかさきけんこうふくしだいがく
stops,stop_name,高崎健康福祉大学,en,Takasakikenkouhukushidaigaku(Takasaki University Health and Welfare)
stops,stop_name,高崎東高校入口,ja-Hrkt,たかさきひがしこうこういりぐち
stops,stop_name,高崎東高校入口,en,Takasakihigasikoukou Iriguchi(Takasaki East High school)
stops,stop_name,元島名公民館前,ja-Hrkt,もとしまなこうみんかんまえ
stops,stop_name,元島名公民館前,en,Motoshimanakouminkan(Motoshimana Public Hall)
stops,stop_name,元島名町,ja-Hrkt,もとしまなまち
stops,stop_name,元島名町,en,Motoshimana-machi
stops,stop_name,島野町南,ja-Hrkt,しまのまちみなみ
stops,stop_name,島野町南,en,Shimano-machi minami
stops,stop_name,将軍塚工業団地,ja-Hrkt,しょうぐんづかこうぎょうだんち
stops,stop_name,将軍塚工業団地,en,Shogunzuka kougyoudanchi
stops,stop_name,西横手町,ja-Hrkt,にしよこてまち
stops,stop_name,西横手町,en,Nishiyokote-machi
stops,stop_name,宿横手団地入口,ja-Hrkt,しゅくよこてだんちいりぐち
stops,stop_name,宿横手団地入口,en,Shukuyokotedanchi Iriguchi
stops,stop_name,中島団地入口,ja-Hrkt,なかじまだんちいりぐち
stops,stop_name,中島団地入口,en,Nakajimadanchi Iriguchi
stops,stop_name,滝川郵便局入口,ja-Hrkt,たきがわゆうびんきょくいりぐち
stops,stop_name,滝川郵便局入口,en,Takigawayuubinkyoku Iriguchi
stops,stop_name,下滝町,ja-Hrkt,しもたきまち
stops,stop_name,下滝町,en,Shimotaki-machi
stops,stop_name,下斎田町,ja-Hrkt,しもさいだまち
stops,stop_name,下斎田町,en,Shimosaida-machi
stops,stop_name,八幡原公民館前,ja-Hrkt,やはたばらこうみんかんまえ
stops,stop_name,八幡原公民館前,en,Yahatabarakouminkan(Yahatabara Public Hall)
stops,stop_name,八幡原町,ja-Hrkt,やはたばらまち
stops,stop_name,八幡原町,en,Yahatabara-machi
stops,stop_name,綿貫町,ja-Hrkt,わたぬきまち
stops,stop_name,綿貫町,en,Watanuki-machi
stops,stop_name,綿貫団地南,ja-Hrkt,わたぬきだんちみなみ
stops,stop_name,綿貫団地南,en,Watanukidanchi minami
stops,stop_name,高崎量子応用研究所,ja-Hrkt,たかさきりょうしおうようけんきゅうじょ
stops,stop_name,高崎量子応用研究所,en,Takasakiryoushiouyoukenkyuujo(Takasaki Advanced Radiation Research Institute)
stops,stop_name,群馬の森,ja-Hrkt,ぐんまのもり
stops,stop_name,群馬の森,en,Gunma no Mori
stops,stop_name,台新田町,ja-Hrkt,だいしんでんまち
stops,stop_name,台新田町,en,Daishinden-machi
stops,stop_name,岩鼻小学校前,ja-Hrkt,いわはなしょうがっこうまえ
stops,stop_name,岩鼻小学校前,en,Iwahanashougakkou mae(Iwahana P.S.)
stops,stop_name,栗崎町,ja-Hrkt,くりさきまち
stops,stop_name,栗崎町,en,Kurisaki-machi
stops,stop_name,岩鼻長寿センター前,ja-Hrkt,いわはなちょうじゅせんたーまえ
stops,stop_name,岩鼻長寿センター前,en,Iwahanachoju center mae
stops,stop_name,ハーモニー高崎ケアセンター,ja-Hrkt,はーもにーたかさきけあせんたー
stops,stop_name,ハーモニー高崎ケアセンター,en,Harmony Takasaki Care Center
stops,stop_name,高等特別支援学校前,ja-Hrkt,こうとうとくべつしえんがっこうまえ
stops,stop_name,高等特別支援学校前,en,Koutoutokubetushiengakkou mae
stops,stop_name,アピタ高崎店前,ja-Hrkt,あぴたたかさきてんまえ
stops,stop_name,アピタ高崎店前,en,Apita Takasakiten mae
stops,stop_name,ヘルスパーククリニック前,ja-Hrkt,へるすぱーくくりにっくまえ
stops,stop_name,ヘルスパーククリニック前,en,Health Park Clinic mae
stops,stop_name,中居団地東,ja-Hrkt,なかいだんちひがし
stops,stop_name,中居団地東,en,Nakaidanchi higashi
stops,stop_name,中居町二丁目,ja-Hrkt,なかいまちにちょうめ
stops,stop_name,中居町二丁目,en,Nakai-machi 2chome
stops,stop_name,中居小学校前,ja-Hrkt,なかいしょうがっこうまえ
stops,stop_name,中居小学校前,en,Nakaishougakkou mae(Nakai P.S.)
stops,stop_name,中居小学校南,ja-Hrkt,なかいしょうがっこうみなみ
stops,stop_name,中居小学校南,en,Nakaishougakkou minami(South of Nakai P.S.)
stops,stop_name,上中居町東,ja-Hrkt,かみなかいまちひがし
stops,stop_name,上中居町東,en,Kaminakai-machi higashi
stops,stop_name,上中居郵便局前,ja-Hrkt,かみなかいゆうびんきょくまえ
stops,stop_name,上中居郵便局前,en,Kaminakaiyuubinkyoku(Kaminakai Post Office)
stops,stop_name,佐野中学校前,ja-Hrkt,さのちゅうがっこうまえ
stops,stop_name,佐野中学校前,en,Sanochuugakkou mae(Sano J.H.S)
stops,stop_name,双葉町,ja-Hrkt,ふたばちょう
stops,stop_name,双葉町,en,Futaba-cho
stops,stop_name,北双葉町,ja-Hrkt,きたふたばちょう
stops,stop_name,北双葉町,en,Kitafutaba-cho
stops,stop_name,ぐんまの森クリニック前,ja-Hrkt,ぐんまのもりくりにっくまえ
stops,stop_name,ぐんまの森クリニック前,en,Gunmanomori Clinic
stop_times,stop_headsign,高崎駅（本町・県庁前・日高・芝塚 経由）,en,Takasaki Sta.(Via Honmachi-Kencho mae-Hidaka-Shibazuka)
